,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_44,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,NA
ASV_45,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,211ds20,NA,NA
ASV_46,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,thiooxidans
ASV_47,Bacteria,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Nevskiaceae,Solimonas,NA
ASV_48,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA
ASV_49,Bacteria,Pseudomonadota,Alphaproteobacteria,Holosporales,Holosporaceae,Candidatus Bealeia,NA
ASV_50,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
ASV_51,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,NA
ASV_52,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,NA
ASV_53,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,Alsobacter,NA
ASV_54,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA,NA
ASV_55,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,NA
ASV_56,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,NA
ASV_57,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_58,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,NA
ASV_59,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_60,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,NA
ASV_61,Bacteria,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Nevskiaceae,Solimonas,NA
ASV_62,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
ASV_63,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_64,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,NA
ASV_65,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_66,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
ASV_67,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,NA
ASV_68,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_69,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,NA
ASV_70,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,NA
ASV_71,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_72,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA,NA
ASV_73,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_74,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,NA
ASV_75,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,hydrocarbonoclasticus
ASV_76,Bacteria,Pseudomonadota,Alphaproteobacteria,Zavarziniales,Zavarziniaceae,Zavarzinia,compransoris
ASV_77,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,NA
ASV_78,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,NA
ASV_79,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,NA
ASV_80,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,aquamarina
ASV_81,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Saccharedens,NA
ASV_82,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,NA
ASV_83,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA
ASV_84,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,NA,NA
ASV_85,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA
ASV_86,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae,Neochlamydia,NA
ASV_87,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,NA
ASV_88,Bacteria,Candidatus Kapabacteria,Kapabacteria,Kapabacteriales,NA,NA,NA
ASV_89,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,NA
ASV_90,Bacteria,Pseudomonadota,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,NA,NA
ASV_91,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae,Neochlamydia,NA
ASV_92,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
ASV_93,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,NA
ASV_94,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_95,Bacteria,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Nevskiaceae,Solimonas,NA
ASV_96,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cypionkella,NA
ASV_97,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Rossellomorea,NA
ASV_98,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
ASV_99,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
ASV_100,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,NA,NA
ASV_101,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,MWH-UniP1 aquatic group,NA,NA
ASV_102,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_103,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,NA
ASV_104,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,aquatilis
ASV_105,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,NA
ASV_106,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas,NA
ASV_107,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
ASV_108,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,NA
ASV_109,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_110,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,MWH-UniP1 aquatic group,NA,NA
ASV_111,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Methyloversatilis,universalis
ASV_112,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Arenimonas,NA
ASV_113,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,thiooxidans
ASV_114,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
ASV_115,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_116,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_117,Bacteria,Candidatus Kapabacteria,Kapabacteria,Kapabacteriales,NA,NA,NA
ASV_118,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,NA
ASV_119,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Daejeonella,NA
ASV_120,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
ASV_121,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA
ASV_122,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,arvoryzae
ASV_123,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
ASV_124,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_125,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA
ASV_126,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,211ds20,NA,NA
ASV_127,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,thiooxidans
ASV_128,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_129,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
ASV_130,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,NA
ASV_131,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_132,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_133,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,NA,NA
ASV_134,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_135,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cypionkella,NA
ASV_136,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,thiooxidans
ASV_137,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV_138,Bacteria,Pseudomonadota,NA,NA,NA,NA,NA
ASV_139,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
ASV_140,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,aquatilis
ASV_141,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_142,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
ASV_143,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae,Candidatus Rubidus,NA
ASV_144,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_145,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,piscinae
ASV_146,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae,Candidatus Rubidus,NA
ASV_147,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,Alsobacter,NA
ASV_148,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,NA
ASV_149,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas,NA
ASV_150,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_151,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_152,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,NA
ASV_153,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA
ASV_154,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_155,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,NA
ASV_156,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_157,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
ASV_158,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,NA
ASV_159,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,Alsobacter,NA
ASV_160,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,NA,NA
ASV_161,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,NA
ASV_162,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
ASV_163,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
ASV_164,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Saccharedens,NA
ASV_165,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,NA
ASV_166,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,NA
ASV_167,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_168,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,NA
ASV_169,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_170,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,NA
ASV_171,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae,Neochlamydia,NA
ASV_172,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Rheinheimera,NA
ASV_173,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39,NA
ASV_174,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,NA
ASV_175,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_176,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,aquatilis
ASV_177,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,caviae
ASV_178,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Methyloversatilis,universalis
ASV_179,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_180,Bacteria,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Nevskiaceae,NA,NA
ASV_181,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,NA
ASV_182,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cypionkella,NA
ASV_183,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Bradymonadales,Incertae Sedis,SKP-2,NA
ASV_184,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,NA
ASV_185,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,NA
ASV_186,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Methyloversatilis,universalis
ASV_187,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,NA
ASV_188,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_189,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_190,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_191,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Methyloversatilis,universalis
ASV_192,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_193,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,NA
ASV_194,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
ASV_195,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_196,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
ASV_197,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,NA
ASV_198,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Halobacillus,NA
ASV_199,Bacteria,Pseudomonadota,Alphaproteobacteria,Zavarziniales,Zavarziniaceae,Zavarzinia,compransoris
ASV_200,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,NA
ASV_201,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,NA
ASV_202,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,bisanensis
ASV_203,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV_204,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,NA
ASV_205,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,NA
ASV_206,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,NA
ASV_207,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,NA
ASV_208,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,NA,NA,NA
ASV_209,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechlorobacter,NA
ASV_210,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,SH3-11,NA
ASV_211,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV_212,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,NA
ASV_213,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39,NA
ASV_214,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_215,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
ASV_216,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,NA
ASV_217,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,MWH-UniP1 aquatic group,NA,NA
ASV_218,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,NA
ASV_219,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_220,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,NA
ASV_221,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
ASV_222,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,naphthae
ASV_223,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,NA
ASV_224,Bacteria,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Nevskiaceae,Solimonas,NA
ASV_225,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cypionkella,NA
ASV_226,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,NA
ASV_227,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,NA
ASV_228,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,NA
ASV_229,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Aquaspirillaceae,Aquaspirillum,serpens
ASV_230,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,NA
ASV_231,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Bradymonadales,Incertae Sedis,SKP-2,NA
ASV_232,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Bradymonadales,Incertae Sedis,SKP-2,NA
